city,population,latitude,longitude
"Valladolid, Spain",301872,41.652251,-4.7245321
"Vallcebre, Spain",251,42.2036185944202,1.8183780466797543
"Vícar, Spain",25024,36.8314423,-2.6418821
"Vidreres, Spain",8000,41.7902198,2.7776036
"Vigo, Spain",297770,42.2405989,-8.7207268
"Vila-rodona, Spain",1322,41.3027746,1.3758649000000105
"Vila-sacra, Spain",758,42.2606207,3.0225754
"Vilablareix, Spain",2549,41.9525583,2.7953351
"Vilada, Spain",430,42.1367098,1.9337445999999543
"Viladecans, Spain",67000,41.3154689,2.0130559
"Viladecavalls, Spain",7392,41.5546052,1.9588007
"Vilafranca del Penedès, Spain",39516,41.3461265,1.6979398
"Vilajuiga, Spain",1112,42.32580730000001,3.0933164
"Vilalba Sasserra, Spain",760,41.6520479,2.4400208
"Vilaller, Spain",532,42.4769739,0.7170556
"Vilallonga de Ter, Spain",399,42.3309462,2.3119950000000244
"Vilanova de Bellpuig, Spain",1169,41.6133903,0.9617580000000316
"Vilanova del Camí, Spain",12609,41.564678,1.6323607
"Vilassar de Mar, Spain",21067,41.5041512,2.3838304
"Villamayor de Armuña, Spain",7100,41.0016627,-5.6937933
"Villanueva de la Serena, Spain",26202,38.9735752,-5.7997323
"Villanueva del Rosario, Spain",3400,36.9982006,-4.3661483
"Villaverde Del Rio, Spain",7697,37.5891528,-5.8742975
"Villena, Spain",8568581801948394,38.633902595733005,-0.8568581801948394
"Vilobí d'Onyar, Spain",3183,41.8888976,2.7412765
"Vilobí del Penedès, Spain",1130,41.3842357,1.6614947
"Vimbodí i Poblet, Spain",905,41.4015493,1.0531193
"Vinaixa, Spain",499,41.447165,0.9725085
"Vinebre, Spain",420,41.1848524,0.5881565
"Vitoria-Gasteiz, Spain",258808,42.8591656,-2.6817918
"Zarautz, Spain",23152,43.284771,-2.1713967
"Zuera, Spain",8000,41.8685433,-0.7901334000000588
